Date,Delhi,Mumbai,Chennai,Kolkata
16-Jun-17,65.48,76.7,68.02,68.03
17-Jun-17,65.23,76.46,67.76,67.84
18-Jun-17,64.91,76.14,67.42,67.58
19-Jun-17,64.65,75.88,67.14,67.37
20-Jun-17,64.55,75.78,67.04,67.3
21-Jun-17,64.55,75.79,67.04,67.3
22-Jun-17,64.44,75.68,66.93,67.21
23-Jun-17,64.23,75.46,66.7,67.04
24-Jun-17,63.99,75.23,66.45,66.86
25-Jun-17,63.71,74.95,66.15,66.64
26-Jun-17,63.55,74.79,65.98,66.51
27-Jun-17,63.46,74.71,65.89,66.44
28-Jun-17,63.46,74.71,65.9,66.45
29-Jun-17,63.47,74.71,65.9,66.45
30-Jun-17,63.31,74.56,65.74,66.32
01-Jul-17,63.09,74.3,65.46,66.14
02-Jul-17,63.06,74.28,65.44,66.12
03-Jul-17,63.13,74.35,65.51,66.18
04-Jul-17,63.08,74.3,65.46,66.14
05-Jul-17,63.08,74.3,65.46,66.14
06-Jul-17,63.19,74.41,65.58,66.23
07-Jul-17,63.33,74.54,65.72,66.33
08-Jul-17,63.46,74.67,65.86,66.44
09-Jul-17,63.65,74.86,66.05,66.58
10-Jul-17,63.83,75.04,66.25,66.73
11-Jul-17,63.93,73.27,66.38,67.4
12-Jul-17,63.93,73.27,66.38,67.4
13-Jul-17,63.91,73.25,66.36,67.38
14-Jul-17,63.89,73.23,66.34,67.37
15-Jul-17,64.03,73.37,66.49,67.48
16-Jul-17,64.11,73.45,66.57,67.55
17-Jul-17,64.15,73.49,66.61,67.58
18-Jul-17,64.21,73.54,66.67,67.62
19-Jul-17,64.21,73.54,66.67,67.62
20-Jul-17,64.25,73.59,66.72,67.66
21-Jul-17,64.28,73.61,66.75,67.68
22-Jul-17,64.3,73.63,66.77,67.69
23-Jul-17,64.4,73.74,66.88,67.77
24-Jul-17,64.53,73.87,67.01,67.88
25-Jul-17,64.57,73.9,67.05,67.91
26-Jul-17,64.57,73.91,67.06,67.91
27-Jul-17,64.59,73.92,67.07,67.92
28-Jul-17,64.69,74.02,67.18,68
29-Jul-17,64.87,74.2,67.37,68.14
30-Jul-17,65,74.33,67.51,68.24
31-Jul-17,65.26,74.58,67.78,68.45
01-Aug-17,65.4,74.56,67.71,68.56
02-Aug-17,65.47,74.63,67.78,68.61
03-Aug-17,65.69,74.85,68.02,68.78
04-Aug-17,66,75.15,68.34,69.03
05-Aug-17,66.28,75.43,68.64,69.24
06-Aug-17,66.51,75.66,68.88,69.43
07-Aug-17,66.66,75.8,69.03,69.54
08-Aug-17,66.75,75.89,69.13,69.61
09-Aug-17,66.81,75.96,69.2,69.66
10-Aug-17,66.96,76.1,69.35,69.78
11-Aug-17,67.27,76.41,69.68,70.07
12-Aug-17,67.5,76.64,69.92,70.29
13-Aug-17,67.76,76.89,70.19,70.55
14-Aug-17,67.95,77.09,70.4,70.74
15-Aug-17,68.08,77.21,70.53,70.86
16-Aug-17,68.14,77.27,70.59,70.92
17-Aug-17,68.24,77.37,70.7,71.02
18-Aug-17,68.29,77.42,70.76,71.07
19-Aug-17,68.37,77.5,70.83,71.14
20-Aug-17,68.38,77.51,70.85,71.16
21-Aug-17,68.54,77.66,71.01,71.31
22-Aug-17,68.67,77.79,71.15,71.44
23-Aug-17,68.73,77.86,71.22,71.5
24-Aug-17,68.88,78,71.37,71.64
25-Aug-17,69.01,78.13,71.51,71.77
26-Aug-17,69.02,78.14,71.52,71.78
27-Aug-17,69.06,78.18,71.56,71.82
28-Aug-17,69.09,78.22,71.6,71.86
29-Aug-17,69.12,78.24,71.62,71.88
30-Aug-17,69.12,78.24,71.62,71.88
31-Aug-17,69.15,78.28,71.66,71.92
01-Sep-17,69.26,78.38,71.78,72.02
02-Sep-17,69.43,78.54,71.95,72.18
03-Sep-17,69.55,78.67,72.08,72.3
04-Sep-17,69.66,78.78,72.2,72.41
05-Sep-17,69.71,78.82,72.25,72.46
06-Sep-17,69.71,78.82,72.25,72.46
07-Sep-17,69.8,78.92,72.34,72.55
08-Sep-17,69.89,79,72.44,72.64
09-Sep-17,70.03,79.14,72.58,72.78
10-Sep-17,70.17,79.28,72.73,72.91
11-Sep-17,70.3,79.41,72.87,73.05
12-Sep-17,70.38,79.48,72.95,73.12
13-Sep-17,70.38,79.48,72.95,73.12
14-Sep-17,70.39,79.5,72.97,73.13
15-Sep-17,70.43,79.54,73.01,73.17
16-Sep-17,70.48,79.59,73.06,73.22
17-Sep-17,70.51,79.62,73.09,73.25
18-Sep-17,70.51,79.62,73.09,73.25
19-Sep-17,70.52,79.63,73.1,73.26
20-Sep-17,70.52,79.63,73.1,73.26
21-Sep-17,70.52,79.63,73.1,73.26
22-Sep-17,70.47,79.58,73.05,73.21
23-Sep-17,70.42,79.53,73,73.16
24-Sep-17,70.39,79.5,72.97,73.13
25-Sep-17,70.41,79.52,72.99,73.15
26-Sep-17,70.41,79.52,72.99,73.15
27-Sep-17,70.41,79.52,72.99,73.15
28-Sep-17,70.46,79.57,73.04,73.2
29-Sep-17,70.56,79.67,73.15,73.3
30-Sep-17,70.66,79.77,73.25,73.4
01-Oct-17,70.76,79.87,73.36,73.5
02-Oct-17,70.83,79.94,73.43,73.57
03-Oct-17,70.88,79.99,73.48,73.62
04-Oct-17,68.38,77.51,70.85,71.16
05-Oct-17,68.38,77.51,70.85,71.16
06-Oct-17,68.36,77.49,70.83,71.14
07-Oct-17,68.35,77.48,70.82,71.13
08-Oct-17,68.39,77.52,70.86,71.17
09-Oct-17,68.45,77.58,70.93,71.23
10-Oct-17,68.45,77.58,70.93,71.23
11-Oct-17,68.48,75.59,70.96,71.26
12-Oct-17,68.45,75.57,70.93,71.23
13-Oct-17,68.43,75.55,70.9,71.21
14-Oct-17,68.38,75.5,70.85,71.16
15-Oct-17,68.33,75.45,70.8,71.11
16-Oct-17,68.29,75.41,70.76,71.07
17-Oct-17,68.26,75.38,70.73,71.04
18-Oct-17,68.26,75.38,70.73,71.04
19-Oct-17,68.33,75.45,70.8,71.11
20-Oct-17,68.4,75.52,70.87,71.18
21-Oct-17,68.44,75.56,70.92,71.22
22-Oct-17,68.58,75.69,71.06,71.36
23-Oct-17,68.6,75.71,71.08,71.38
24-Oct-17,68.6,75.71,71.08,71.38
25-Oct-17,68.62,75.73,71.1,71.4
26-Oct-17,68.65,75.76,71.14,71.43
27-Oct-17,68.72,75.83,71.21,71.49
28-Oct-17,68.84,75.95,71.34,71.61
29-Oct-17,68.92,76.03,71.42,71.69
30-Oct-17,69.07,76.18,71.58,71.84
31-Oct-17,69.13,76.24,71.64,71.9
01-Nov-17,69.14,76.25,71.65,71.9
02-Nov-17,69.25,76.36,71.77,72.01
03-Nov-17,69.34,76.45,71.86,72.1
04-Nov-17,69.47,76.57,72,72.23
05-Nov-17,69.55,76.65,72.08,72.31
06-Nov-17,69.69,76.79,72.23,72.44
07-Nov-17,69.8,76.9,72.35,72.55
08-Nov-17,69.8,76.9,72.35,72.55
09-Nov-17,69.85,76.95,72.4,72.6
10-Nov-17,69.85,76.95,72.4,72.6
11-Nov-17,69.81,76.91,72.36,72.56
12-Nov-17,69.78,76.88,72.33,72.53
13-Nov-17,69.78,76.88,72.33,72.53
14-Nov-17,69.73,76.83,72.27,72.48
15-Nov-17,69.68,76.78,72.22,72.43
16-Nov-17,69.65,76.75,72.19,72.4
17-Nov-17,69.61,76.71,72.15,72.37
18-Nov-17,69.57,76.67,72.1,72.33
19-Nov-17,69.54,76.64,72.07,72.3
20-Nov-17,69.51,76.61,72.04,72.27
21-Nov-17,69.53,76.63,72.06,72.29
22-Nov-17,69.48,76.58,72.01,72.24
23-Nov-17,69.43,76.54,71.96,72.19
24-Nov-17,69.41,76.52,71.94,72.17
25-Nov-17,69.36,76.52,71.88,72.12
26-Nov-17,69.32,76.52,71.84,72.08
27-Nov-17,69.28,76.52,71.8,72.04
28-Nov-17,69.26,76.52,71.78,72.02
29-Nov-17,69.26,76.52,71.78,72.02
30-Nov-17,69.24,76.52,71.76,72
01-Dec-17,69.22,76.52,71.74,71.98
02-Dec-17,69.22,76.52,71.74,71.98
03-Dec-17,69.23,76.54,71.75,71.99
04-Dec-17,69.23,76.56,71.75,71.99
05-Dec-17,69.25,76.59,71.77,72.01
06-Dec-17,69.24,76.6,71.76,72
07-Dec-17,69.23,76.61,71.75,71.99
08-Dec-17,69.19,76.61,71.7,71.95
09-Dec-17,69.18,76.62,71.69,71.94
10-Dec-17,69.15,76.61,71.66,71.91
11-Dec-17,69.12,76.62,71.63,71.88
12-Dec-17,69.09,76.64,71.6,71.85
13-Dec-17,69.07,76.66,71.58,71.84
